Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59578				16066.3	40000.0	#N/A	#N/A	5374	9.6	35.0	0.02%	0.40	5.52	9.50	1.72	0.010	0.067	0.195	0.039	9.349	0.048	0.134	0.315	0.059	18.723		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	51.56%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	NL	59579				15532.7	40002.0	#N/A	#N/A	#N/A	0.5	22.3	0.01%	0.77	5.01	5.51	1.10	0.014	0.036	0.066	0.010	3.248	0.064	0.136	0.213	0.035	12.117		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	49.81%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	59580				16313.8	40001.5	#N/A	#N/A	5318	7.8	13.3	0.03%	0.79	3.69	4.75	1.29	0.049	0.117	0.162	0.029	6.224	0.015	0.084	0.137	0.034	4.466		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	58.65%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59581				16098.8	40004.0	#N/A	#N/A	5374	14.1	24.8	0.01%	0.52	3.90	8.56	2.20	0.028	0.095	0.148	0.022	9.375	0.048	0.087	0.117	0.016	8.597		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	69.30%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	59582				15581.2	40008.0	#N/A	#N/A	5314	4.9	45.8	0.12%	0.56	8.19	8.74	1.07	0.010	0.070	0.424	0.060	12.782	0.046	0.162	0.306	0.067	29.623		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	39.48%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59583				15561.7	40009.0	#N/A	#N/A	5262	5.5	42.3	0.01%	0.68	7.02	8.00	1.14	0.010	0.063	0.136	0.024	10.676	0.100	0.230	0.385	0.074	38.890		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	85.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59584				15751.3	40008.0	#N/A	#N/A	5372	10.3	23.3	0.01%	0.42	3.35	9.69	2.90	0.003	0.098	0.172	0.048	9.092	0.044	0.108	0.162	0.030	10.085		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	99.76%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59585				15604.7	40008.0	#N/A	#N/A	5372	14.7	18.8	0.01%	0.82	4.51	5.01	1.11	0.027	0.126	0.199	0.041	9.413	0.097	0.203	0.323	0.053	15.243		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	53.07%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59586				15623.8	40009.5	#N/A	#N/A	5372	18.2	43.0	0.03%	0.71	7.23	7.58	1.05	0.036	0.071	0.115	0.017	12.261	0.076	0.153	0.219	0.034	26.349		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	80.43%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59587				16105.8	40009.5	#N/A	#N/A	5374	13.9	43.5	0.03%	0.55	5.64	10.34	1.83	0.020	0.118	0.208	0.041	20.529	0.044	0.172	0.449	0.099	29.940		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	58.25%	
